trip_id,driver_id,start_time,end_time,start_lat,start_lon,end_lat,end_lon,distance_miles,duration,avg_speed,max_speed,hard_brakes,time_of_day,weather
1,DRIVER-24,2025-09-09 09:09:18.972979,2025-09-09 10:39:18.972979,40.92155275587406,-73.88892056294311,40.943788016756294,-74.17406690652832,30.4,90,27,61.4,2,afternoon,rain
2,DRIVER-20,2025-09-13 12:27:20.317328,2025-09-13 13:40:20.317328,40.6445116436668,-73.75377538037604,40.71807125278348,-73.70474288619391,58,73,60.9,76.5,0,evening,clear
3,DRIVER-39,2025-09-10 02:59:55.467877,2025-09-10 03:24:55.467877,40.89985301454987,-73.90224760574952,40.58251867466281,-73.71921075777902,73.7,25,38.8,75.5,1,evening,rain
4,DRIVER-5,2025-09-12 01:35:33.630450,2025-09-12 02:22:33.630450,40.833564881168606,-73.94813167735522,40.72422261416006,-74.13541547288156,55.6,47,54.1,78.9,3,afternoon,fog
5,DRIVER-8,2025-09-08 07:24:27.258868,2025-09-08 08:15:27.258868,40.73806812438349,-74.17002052058207,40.50487920421817,-74.1474165455406,55.9,51,24.4,74.2,0,afternoon,fog
6,DRIVER-28,2025-09-07 18:05:16.832077,2025-09-07 19:44:16.832077,40.51249437772611,-73.83347183773628,40.854094175180705,-73.94919186377793,75.6,99,52.4,80.4,4,evening,snow
7,DRIVER-31,2025-09-10 01:53:45.123459,2025-09-10 03:03:45.123459,40.56192714938115,-73.70064254851192,40.51007356079636,-74.11770742469172,81.9,70,45.4,85,1,morning,storm
8,DRIVER-40,2025-09-11 11:48:16.616308,2025-09-11 12:00:16.616308,40.91919077047639,-73.74465449903497,40.87156897007226,-73.78925461627917,64.6,12,28.1,67.6,3,afternoon,storm
9,DRIVER-35,2025-09-11 22:29:02.603672,2025-09-11 22:52:02.603672,40.96206176620808,-74.043846431274,40.72255160858392,-74.18265687987093,33.1,23,42.3,72.6,0,evening,storm
10,DRIVER-22,2025-09-08 00:21:54.310902,2025-09-08 01:55:54.310902,40.96892216456973,-74.02247563527263,40.52723530953097,-73.72681813519891,41.2,94,42.8,57.8,3,night,snow
11,DRIVER-20,2025-09-10 19:31:47.070121,2025-09-10 21:03:47.070121,40.972521960682066,-73.9292573816398,40.68945917240046,-73.92812005200993,9.6,92,46.9,50.5,0,afternoon,clear
12,DRIVER-48,2025-09-08 14:16:00.861008,2025-09-08 15:34:00.861008,40.716911101022895,-73.87707778639958,40.599657232648234,-73.84062767367001,59.3,78,35.1,77.6,3,evening,rain
13,DRIVER-17,2025-09-08 12:58:20.070573,2025-09-08 14:15:20.070573,40.76059126392708,-74.16911245995323,40.51201558057028,-74.1134691305212,47,77,49.5,82,4,morning,fog
14,DRIVER-28,2025-09-12 05:34:20.375141,2025-09-12 07:12:20.375141,40.636685660445956,-73.72349617625497,40.814316671496684,-73.89990886227588,14.1,98,62.2,73,4,night,clear
15,DRIVER-11,2025-09-11 17:01:33.456771,2025-09-11 18:21:33.456771,40.51110902313887,-74.1416248491325,40.764652120351144,-74.1154929225597,79.2,80,34,70.4,2,evening,snow
16,DRIVER-49,2025-09-12 21:30:21.118366,2025-09-12 22:31:21.118366,40.871464044903576,-73.83621399568979,40.53129632803197,-73.91890060110654,41,61,22.7,76.8,2,morning,clear
17,DRIVER-6,2025-09-12 14:09:44.070783,2025-09-12 15:13:44.070783,40.82339656168638,-74.18967854281878,40.607763620353445,-73.73981034933364,29,64,32.6,82.1,4,afternoon,snow
18,DRIVER-1,2025-09-12 13:40:38.891206,2025-09-12 14:16:38.891206,40.905849026205445,-74.12164873302807,40.972574944471624,-73.76642793587254,16.1,36,27.4,81,0,morning,clear
19,DRIVER-8,2025-09-12 11:05:35.720520,2025-09-12 12:11:35.720520,40.76590092116796,-74.0080540031214,40.54667336433552,-73.99685893262708,69.8,66,48.9,52.5,3,night,rain
20,DRIVER-21,2025-09-10 02:59:00.050415,2025-09-10 04:15:00.050415,40.949396260465285,-73.90877718222457,40.64566641342444,-73.76861544884233,40.1,76,23.1,73.1,1,afternoon,fog
21,DRIVER-31,2025-09-12 05:24:05.075158,2025-09-12 06:57:05.075158,40.69074267992926,-73.91276539882323,40.81030357225184,-73.76798934873334,54.6,93,45.9,64.6,3,afternoon,clear
22,DRIVER-44,2025-09-11 07:51:08.700042,2025-09-11 09:30:08.700042,40.60207910129608,-74.08566064376302,40.946964863247985,-74.12706938099954,37.6,99,20.4,60.5,4,afternoon,clear
23,DRIVER-9,2025-09-08 20:52:12.068442,2025-09-08 21:14:12.068442,40.97330603399837,-74.09477879322407,40.88617639518553,-74.08336303289055,58.6,22,42.5,55.2,2,evening,snow
24,DRIVER-41,2025-09-08 07:11:11.345804,2025-09-08 07:42:11.345804,40.80488945109364,-74.06695298095906,40.560590232939816,-73.8138401109233,32,31,20.2,52.8,2,morning,clear
25,DRIVER-17,2025-09-07 19:10:41.130842,2025-09-07 19:26:41.130842,40.967898337121284,-73.76266747687347,40.914458959332414,-74.09336630484981,9.3,16,26.7,73,2,morning,storm
26,DRIVER-38,2025-09-13 05:17:33.782661,2025-09-13 06:11:33.782661,40.60956366730633,-73.776627252563,40.70026124466987,-74.05050180118111,82.3,54,28.9,53,2,night,fog
27,DRIVER-16,2025-09-06 15:27:15.158261,2025-09-06 16:29:15.158261,40.79980551553317,-73.74439946723224,40.77305950303165,-74.13335287481841,52.7,62,20.2,68.2,2,afternoon,rain
28,DRIVER-25,2025-09-07 21:30:19.100851,2025-09-07 22:16:19.100851,40.60433999870602,-74.12792290336071,40.876123563887624,-73.85389606234259,57.3,46,21.7,74.9,0,night,fog
29,DRIVER-46,2025-09-10 21:31:19.181544,2025-09-10 22:39:19.181544,40.624261519157315,-74.06793472020635,40.76865989029071,-74.16807513050722,56.8,68,49.8,51.7,1,morning,storm
30,DRIVER-14,2025-09-08 07:09:19.792619,2025-09-08 08:11:19.792619,40.71184951566452,-73.85614362651555,40.6588140935646,-73.80318338536298,43.6,62,33.1,72.9,1,morning,rain
31,DRIVER-11,2025-09-07 01:20:51.498809,2025-09-07 02:21:51.498809,40.50164010422084,-73.85765214060955,40.721150021939195,-73.76066433415411,23.4,61,63.2,86,1,evening,fog
32,DRIVER-45,2025-09-06 23:06:26.679037,2025-09-07 00:31:26.679037,40.96274431191134,-73.71741427685906,40.71475025019265,-73.9405485554615,31.4,85,63.5,84,4,afternoon,fog
33,DRIVER-38,2025-09-07 15:30:08.052896,2025-09-07 16:57:08.052896,40.66515654116607,-73.9334049028135,40.800636206428415,-74.13614536044572,7.5,87,43.2,73.8,1,morning,snow
34,DRIVER-2,2025-09-06 22:30:47.313570,2025-09-06 23:16:47.313570,40.69471073685985,-74.17065204507564,40.578219064416025,-73.97233517629849,71.3,46,46.2,62.4,1,night,snow
35,DRIVER-30,2025-09-11 08:33:47.262485,2025-09-11 09:36:47.262485,40.708572770359915,-73.87224463580387,40.98687033439113,-73.99014109129172,37.9,63,23.6,56.8,4,night,clear
36,DRIVER-13,2025-09-06 23:04:07.891209,2025-09-06 23:22:07.891209,40.675820595814606,-74.10505191081576,40.8835159189074,-73.80992299239438,6.1,18,47.1,78.2,2,morning,storm
37,DRIVER-39,2025-09-11 11:06:56.163023,2025-09-11 11:46:56.163023,40.60185651959753,-73.72827442987632,40.86070403179154,-74.10175562255826,17.7,40,23.8,81.9,3,morning,rain
38,DRIVER-25,2025-09-07 07:17:45.869449,2025-09-07 08:48:45.869449,40.92746943138831,-73.78908749044018,40.84406681961991,-73.95621198086737,12.2,91,23.5,80.4,0,night,fog
39,DRIVER-10,2025-09-12 09:18:09.896768,2025-09-12 10:50:09.896768,40.667686277718445,-73.83002243395768,40.70282552457094,-73.72852875144376,80.8,92,58.3,51.9,2,night,clear
40,DRIVER-10,2025-09-06 23:43:19.644882,2025-09-07 00:05:19.644882,40.79634891316367,-73.87074989901052,40.61228312384334,-73.98951011278452,27.2,22,57.2,73.5,4,evening,fog
41,DRIVER-16,2025-09-10 17:10:44.428149,2025-09-10 18:14:44.428149,40.877793696037145,-74.17499923867734,40.60255217578705,-73.75032987964397,24.7,64,22.3,66.6,1,afternoon,fog
42,DRIVER-12,2025-09-06 22:02:49.001464,2025-09-06 23:10:49.001464,40.92042006179133,-73.85229184108502,40.69827089999075,-73.89609220891076,75.9,68,34.9,57.4,3,morning,rain
43,DRIVER-9,2025-09-13 07:50:48.015101,2025-09-13 08:23:48.015101,40.521702034323205,-73.93694841497252,40.682501669131796,-73.84973992927682,44.5,33,43.5,82.4,4,night,storm
44,DRIVER-29,2025-09-12 13:59:47.571894,2025-09-12 14:39:47.571894,40.72575207120865,-74.11011358179854,40.89316201349654,-74.0703717056123,70.6,40,21.8,54.5,2,night,rain
45,DRIVER-24,2025-09-12 19:50:20.328662,2025-09-12 20:59:20.328662,40.76013350939182,-73.79330863213437,40.605292946116435,-73.73622410994506,46.1,69,62,63.3,0,afternoon,snow
46,DRIVER-48,2025-09-08 06:34:44.004886,2025-09-08 07:02:44.004886,40.783752576898344,-74.00705765313114,40.818998518721415,-73.97424427665209,73.9,28,57.5,89.8,0,evening,storm
47,DRIVER-47,2025-09-07 11:54:00.414164,2025-09-07 12:26:00.414164,40.642750165013,-73.7613525808057,40.92434512925908,-73.78524964688373,64,32,57.6,81.3,0,morning,storm
48,DRIVER-35,2025-09-09 15:47:23.934196,2025-09-09 16:04:23.934196,40.8795989415205,-73.76577181011284,40.55759983492081,-74.03672573812463,54.1,17,21.8,82.8,3,morning,storm
49,DRIVER-24,2025-09-09 12:13:44.557609,2025-09-09 13:10:44.557609,40.80139498118275,-74.11077086770301,40.965812391900876,-74.07146604529434,81,57,28.8,66.3,3,morning,rain
50,DRIVER-17,2025-09-09 10:50:44.564609,2025-09-09 11:36:44.564609,40.57053839995571,-73.85784727443594,40.53750861248246,-73.89477972237128,73.5,46,59.5,82.9,0,morning,clear
51,DRIVER-18,2025-09-11 20:48:35.579682,2025-09-11 20:58:35.579682,40.67002508710524,-73.86187925509427,40.64258263959722,-74.02389014432836,20.6,10,21.2,86.8,3,evening,storm
52,DRIVER-38,2025-09-13 06:19:59.702753,2025-09-13 06:31:59.702753,40.653430707344064,-74.1021149971135,40.69844731725713,-73.97508056340766,43.7,12,68.4,78.4,1,evening,fog
53,DRIVER-12,2025-09-09 13:15:38.966058,2025-09-09 14:26:38.966058,40.66765064091231,-73.97263495366694,40.87246984367415,-73.97621259681033,47,71,42.8,70.4,4,morning,clear
54,DRIVER-17,2025-09-11 19:53:24.916672,2025-09-11 21:18:24.916672,40.72616003797386,-73.82394304301934,40.58661543903648,-74.16647107445486,14.7,85,65.6,71.4,2,morning,fog
55,DRIVER-43,2025-09-11 18:50:12.581503,2025-09-11 19:59:12.581503,40.72053304154548,-74.10696292346654,40.509977759264004,-74.05109812228626,23,69,58.2,69.9,3,afternoon,clear
56,DRIVER-6,2025-09-09 23:10:39.479450,2025-09-10 00:13:39.479450,40.81084314109354,-73.76789923027258,40.63872038451204,-73.89954518929186,70,63,61.9,55.4,3,afternoon,snow
57,DRIVER-45,2025-09-09 13:31:05.523204,2025-09-09 13:44:05.523204,40.62164715609353,-74.02524071652843,40.83935037973719,-73.92927476348066,43.8,13,35.2,81.5,1,morning,snow
58,DRIVER-19,2025-09-11 01:54:44.668245,2025-09-11 02:55:44.668245,40.53756459660204,-74.19868744338277,40.98923540588428,-74.03343250401072,15.4,61,45.7,87.2,4,morning,storm
59,DRIVER-13,2025-09-07 05:29:09.695673,2025-09-07 06:50:09.695673,40.932447556445744,-73.7791210169626,40.97260213897047,-74.09094037026502,83.6,81,26.9,65.3,4,afternoon,storm
60,DRIVER-37,2025-09-06 23:48:38.261498,2025-09-07 00:15:38.261498,40.74467074958326,-74.15785266578055,40.70121438313941,-74.12134693392954,44,27,36,57,3,afternoon,storm
61,DRIVER-17,2025-09-13 14:06:12.598431,2025-09-13 15:34:12.598431,40.92112882579421,-74.11997864107892,40.50302355845085,-73.87441173242823,57,88,61,59.1,4,evening,snow
62,DRIVER-36,2025-09-10 18:26:18.406212,2025-09-10 19:16:18.406212,40.64675152939564,-73.81617380021166,40.990543555304654,-74.08960760466042,29.8,50,24.1,52.6,1,afternoon,fog
63,DRIVER-38,2025-09-10 04:33:25.301709,2025-09-10 05:07:25.301709,40.5257677292192,-73.77867113959392,40.5984933474482,-73.82990802526945,50.4,34,47.3,86,1,morning,rain
64,DRIVER-4,2025-09-11 00:49:22.307077,2025-09-11 01:49:22.307077,40.912790392775406,-74.00748675711587,40.57339023227013,-74.06235712627088,75.3,60,66.7,57.4,4,night,fog
65,DRIVER-29,2025-09-12 11:48:08.922842,2025-09-12 13:00:08.922842,40.62645842870022,-74.02911959251652,40.993626944642365,-73.70048563490197,22.3,72,51.1,59.7,4,evening,rain
66,DRIVER-11,2025-09-10 23:18:08.089164,2025-09-10 23:47:08.089164,40.878125668725076,-73.74579134761926,40.55048062394712,-73.7032929896568,37.7,29,43.9,79,2,evening,clear
67,DRIVER-26,2025-09-08 17:15:43.462127,2025-09-08 18:12:43.462127,40.80441703883616,-73.74865759397701,40.53720047121173,-73.92911519833115,29.9,57,27.6,59.2,0,morning,rain
68,DRIVER-21,2025-09-09 09:43:11.924954,2025-09-09 10:03:11.924954,40.7186841894679,-74.09990829918497,40.94013526930252,-73.7539153015345,29.3,20,65.4,50.4,3,evening,storm
69,DRIVER-18,2025-09-13 11:12:28.974015,2025-09-13 11:50:28.974015,40.8156143679972,-73.82603715143831,40.51065565666504,-73.71855461283151,42.8,38,29.4,84.7,0,evening,storm
70,DRIVER-5,2025-09-08 04:33:53.324600,2025-09-08 05:04:53.324600,40.913230634036886,-73.89889379224064,40.964340746138134,-74.0788979998675,84.6,31,63.1,67.7,0,evening,snow
71,DRIVER-39,2025-09-07 10:01:30.973640,2025-09-07 10:40:30.973640,40.8960841723094,-73.87399115992898,40.98367263539906,-73.83044174379664,69.3,39,42.2,62.2,0,night,storm
72,DRIVER-17,2025-09-12 03:29:01.254451,2025-09-12 03:39:01.254451,40.92247807669018,-73.91812301736448,40.56851622726238,-74.02374556137347,71,10,39.2,80.9,1,night,clear
73,DRIVER-16,2025-09-11 05:57:48.124875,2025-09-11 06:32:48.124875,40.838662907053845,-74.085314271416,40.89674390003065,-73.7713105708765,18.2,35,33,67.4,1,morning,snow
74,DRIVER-42,2025-09-09 13:22:29.357218,2025-09-09 14:50:29.357218,40.50871024796783,-74.09796575887165,40.795375085515396,-73.95368639416851,83.5,88,56.3,73.8,2,afternoon,snow
75,DRIVER-49,2025-09-09 11:21:00.460177,2025-09-09 12:15:00.460177,40.613511600615375,-73.71843802366085,40.97227477129013,-74.19628737241679,51.5,54,62.3,63.8,1,afternoon,storm
76,DRIVER-46,2025-09-11 19:17:48.400470,2025-09-11 20:41:48.400470,40.817519694872765,-73.72812921581203,40.53921039911605,-73.94150588452598,51,84,40.9,72.5,0,evening,snow
77,DRIVER-22,2025-09-07 09:55:13.580721,2025-09-07 10:30:13.580721,40.844285323215715,-73.7825511489184,40.78467826517965,-73.93687283204196,7.3,35,34.6,63.9,1,morning,clear
78,DRIVER-19,2025-09-07 05:45:29.310506,2025-09-07 07:01:29.310506,40.594224268181,-73.86636223671775,40.7450218657619,-73.94968966515387,17.4,76,69.7,60.5,0,evening,storm
79,DRIVER-18,2025-09-13 06:43:52.132081,2025-09-13 07:57:52.132081,40.995164400122164,-74.00069713350156,40.641032659349804,-74.03560746784851,64.5,74,28.4,63.4,0,afternoon,snow
80,DRIVER-27,2025-09-11 19:47:38.016329,2025-09-11 20:29:38.016329,40.76030623435719,-73.88747004030513,40.889958774322594,-74.06467015506348,33.3,42,23.7,72.7,3,night,rain
81,DRIVER-20,2025-09-09 00:00:09.772448,2025-09-09 00:33:09.772448,40.815870303233694,-73.92864992031876,40.5326549821152,-73.75395097486692,5.3,33,44.8,87,2,night,storm
82,DRIVER-3,2025-09-12 11:56:30.307345,2025-09-12 12:29:30.307345,40.7518797189892,-73.74628530142213,40.871584834322015,-73.75608530653935,77.8,33,35.2,83.9,0,evening,rain
83,DRIVER-39,2025-09-08 15:40:02.038486,2025-09-08 17:05:02.038486,40.62990561747497,-73.79012616567707,40.545191286530056,-73.95911970092195,45.2,85,60.3,77.2,2,afternoon,fog
84,DRIVER-21,2025-09-09 08:59:36.959856,2025-09-09 09:14:36.959856,40.57516090676723,-73.74973192637098,40.94847943059151,-74.08411899065666,68.6,15,40.4,85.6,4,evening,fog
85,DRIVER-34,2025-09-10 05:31:36.354028,2025-09-10 07:07:36.354028,40.92861264420844,-73.87290891437316,40.68821637455399,-73.71509800067751,17.5,96,65,77.9,0,evening,fog
86,DRIVER-20,2025-09-06 20:27:56.920993,2025-09-06 21:34:56.920993,40.883253038105146,-73.98037044163138,40.59780903929513,-74.15929617296904,27.4,67,23,73.2,0,morning,snow
87,DRIVER-46,2025-09-13 03:27:53.865942,2025-09-13 03:51:53.865942,40.614172350035346,-74.08064831430994,40.507055154343774,-73.80203219068854,60.6,24,57.8,78.4,1,evening,storm
88,DRIVER-9,2025-09-12 18:47:41.360609,2025-09-12 20:02:41.360609,40.87973970341939,-74.01006901233188,40.912470885321554,-73.75705207132164,62.5,75,63.8,59.2,1,afternoon,snow
89,DRIVER-35,2025-09-13 03:40:15.143185,2025-09-13 04:16:15.143185,40.69810358967837,-73.84706703462493,40.574269972189136,-74.03268475417528,56.1,36,34.9,85.3,2,morning,rain
90,DRIVER-13,2025-09-10 23:17:24.350717,2025-09-10 23:58:24.350717,40.62530629646082,-73.74524973767996,40.630536335469095,-74.16952573687435,29.8,41,22.1,65.2,4,afternoon,fog
91,DRIVER-42,2025-09-12 01:07:41.460868,2025-09-12 02:28:41.460868,40.9199581916316,-74.05211636724015,40.936667141142294,-74.08606337960107,82.9,81,41.5,72.6,3,afternoon,clear
92,DRIVER-45,2025-09-12 12:32:29.703171,2025-09-12 13:53:29.703171,40.761294478561034,-73.74096041786319,40.67959611278285,-74.01361205863503,53.8,81,29.2,67,2,afternoon,fog
93,DRIVER-37,2025-09-06 22:02:41.121093,2025-09-06 23:09:41.121093,40.62773170286728,-73.74683726843202,40.75206415286837,-73.70402179345959,59.8,67,55.3,60,3,night,storm
94,DRIVER-14,2025-09-10 14:30:22.151387,2025-09-10 14:47:22.151387,40.913790559218775,-73.73684639278284,40.792967166925436,-73.83947277933427,12.9,17,61.3,64.1,4,night,storm
95,DRIVER-39,2025-09-08 17:01:17.151366,2025-09-08 17:54:17.151366,40.84549480580445,-74.01823558725214,40.96753713933748,-74.17630331593301,69.1,53,54.5,72.9,4,afternoon,storm
