trip_id,driver_id,start_time,end_time,start_lat,start_lon,end_lat,end_lon,distance_miles,duration,avg_speed,max_speed,hard_brakes,time_of_day,weather,claim
1,DRIVER-28,2025-09-09 22:02:02.865065,2025-09-09 22:33:02.865065,40.73443842286716,-74.15157038905289,40.76907735405505,-73.96138103414087,70.9,31,57.0,60.5,3,morning,snow,1
2,DRIVER-45,2025-09-12 08:19:29.009406,2025-09-12 09:52:29.009406,40.782407196302,-73.97581147374676,40.76932158790632,-73.8683897686691,69.4,93,34.4,59.4,1,morning,snow,0
3,DRIVER-17,2025-09-10 00:00:57.250053,2025-09-10 00:48:57.250053,40.83220989278262,-73.9093641515473,40.57091902137909,-73.73852062354149,17.5,48,48.7,88.6,0,night,rain,0
4,DRIVER-6,2025-09-10 16:02:22.549237,2025-09-10 16:17:22.549237,40.790253450930905,-73.89964749876506,40.869679481664406,-73.94564490207571,78.6,15,59.0,85.9,2,night,rain,0
5,DRIVER-8,2025-09-05 19:49:35.711541,2025-09-05 20:50:35.711541,40.92427236663176,-73.94188956089837,40.922414797359394,-74.16389078339947,21.1,61,43.0,67.1,4,morning,fog,1
6,DRIVER-28,2025-09-10 17:05:26.260438,2025-09-10 18:24:26.260438,40.60865184524313,-73.98970712074139,40.93544294292417,-74.03127219807823,18.4,79,22.3,76.0,2,evening,fog,0
7,DRIVER-16,2025-09-10 01:48:05.435532,2025-09-10 03:10:05.435532,40.751393786864384,-74.08383489620154,40.78654852794847,-73.92152666912014,18.2,82,45.5,74.9,3,afternoon,clear,0
8,DRIVER-27,2025-09-07 23:45:50.339274,2025-09-08 00:23:50.339274,40.59177529902301,-73.88070032788961,40.99294313208163,-73.71671567472687,61.7,38,49.3,60.3,3,night,rain,1
9,DRIVER-6,2025-09-06 14:57:09.169761,2025-09-06 15:56:09.169761,40.78861201757813,-74.17585475936708,40.61189143596175,-73.7894889147035,23.4,59,63.0,65.8,4,afternoon,storm,1
10,DRIVER-41,2025-09-11 08:22:28.052532,2025-09-11 09:23:28.052532,40.77617571448331,-73.79455454416464,40.97289070817014,-73.9479028421822,24.9,61,60.5,74.4,2,night,fog,0
11,DRIVER-31,2025-09-06 11:34:25.097753,2025-09-06 11:49:25.097753,40.5724232103348,-73.7474504500578,40.97438095694424,-73.7964888670187,15.2,15,29.0,57.4,4,afternoon,rain,1
12,DRIVER-33,2025-09-09 02:22:29.759239,2025-09-09 03:14:29.759239,40.81388055963029,-73.70809784174175,40.546895252747206,-74.01578257180434,51.5,52,55.6,84.0,4,morning,clear,1
13,DRIVER-14,2025-09-08 02:25:41.855409,2025-09-08 03:32:41.855409,40.746734643311406,-74.10758791598164,40.792583121883865,-74.162482219241,7.8,67,25.0,85.6,2,afternoon,fog,0
14,DRIVER-14,2025-09-12 10:16:42.458827,2025-09-12 10:32:42.458827,40.899956753039504,-73.8536072989028,40.71616912496627,-73.85342273968466,31.9,16,66.6,75.8,3,morning,storm,0
15,DRIVER-22,2025-09-10 02:25:49.362350,2025-09-10 03:13:49.362350,40.6575529570387,-74.12991193312044,40.59637082942716,-73.79256112684375,34.7,48,63.8,53.1,3,night,snow,1
16,DRIVER-16,2025-09-11 21:46:35.941141,2025-09-11 22:24:35.941141,40.51177786468395,-73.84669112505242,40.826629143287526,-73.71299766235825,83.6,38,36.2,68.0,4,evening,snow,1
17,DRIVER-19,2025-09-08 02:36:12.876536,2025-09-08 03:38:12.876536,40.524053140886,-73.85748853586577,40.61568371680256,-73.76211865468922,14.3,62,27.4,73.9,0,afternoon,clear,0
18,DRIVER-2,2025-09-08 01:05:43.590153,2025-09-08 02:40:43.590153,40.820919190597415,-74.16476746173272,40.66145195974877,-73.92339558422701,42.4,95,22.9,81.4,1,night,storm,0
19,DRIVER-31,2025-09-06 21:42:51.747830,2025-09-06 21:56:51.747830,40.87002040004312,-73.78276548250551,40.97956728966627,-74.02882938647016,16.0,14,53.4,64.6,1,night,fog,0
20,DRIVER-48,2025-09-10 12:35:31.856192,2025-09-10 13:33:31.856192,40.75057265142145,-73.88029102642577,40.5771143810656,-74.01200883500161,33.7,58,47.3,63.3,4,morning,clear,1
21,DRIVER-5,2025-09-10 03:04:24.063875,2025-09-10 03:15:24.063875,40.79739338096165,-73.7003240026815,40.51743195544061,-74.1795390653889,48.4,11,20.3,59.6,4,afternoon,fog,1
22,DRIVER-38,2025-09-11 00:12:19.452556,2025-09-11 01:33:19.452556,40.91588684571006,-73.77657287435962,40.873984790839614,-73.75969323228114,10.7,81,49.1,88.3,1,morning,clear,0
23,DRIVER-16,2025-09-06 11:20:35.697557,2025-09-06 11:51:35.697557,40.50170917226893,-74.16133551007631,40.92556517603245,-74.12054477363574,81.5,31,61.1,60.2,1,morning,storm,0
24,DRIVER-48,2025-09-07 00:32:16.815638,2025-09-07 00:51:16.815638,40.62947987527407,-73.9790462601163,40.76910010433378,-73.8690463468756,6.9,19,63.4,73.7,3,night,storm,0
25,DRIVER-19,2025-09-11 07:16:15.840880,2025-09-11 08:12:15.840880,40.67023151820179,-74.09682434074212,40.76072334472294,-74.09223227584366,78.0,56,31.8,51.4,4,afternoon,storm,1
26,DRIVER-46,2025-09-11 16:48:50.922031,2025-09-11 17:20:50.922031,40.596576089026165,-73.7256144601331,40.858042949565245,-73.75315256422752,14.8,32,26.0,77.7,2,evening,snow,0
27,DRIVER-23,2025-09-09 21:44:36.594192,2025-09-09 23:16:36.594192,40.62889475445446,-73.72560448106337,40.64261413152142,-74.1809601903565,46.4,92,69.6,71.0,3,afternoon,fog,0
28,DRIVER-46,2025-09-08 17:00:04.504555,2025-09-08 18:25:04.504555,40.978151579295854,-73.99331462650967,40.6079859775693,-73.90679571708374,50.9,85,36.0,68.1,4,evening,storm,1
29,DRIVER-46,2025-09-07 16:16:39.169286,2025-09-07 17:18:39.169286,40.67465251841016,-74.12562593102788,40.54813967029972,-73.99657733497172,41.5,62,68.9,67.5,3,evening,fog,0
30,DRIVER-10,2025-09-08 03:39:44.436390,2025-09-08 04:30:44.436390,40.84398640317579,-73.86801494970047,40.68335955301608,-74.13551216247784,74.8,51,63.2,56.0,1,evening,clear,0
31,DRIVER-33,2025-09-11 14:06:20.453800,2025-09-11 15:41:20.453800,40.501296699035336,-74.11477475501204,40.67428743103788,-74.13898800109364,38.3,95,66.2,71.6,2,morning,snow,1
32,DRIVER-45,2025-09-09 17:32:01.809426,2025-09-09 18:08:01.809426,40.67247232554272,-73.79884126560555,40.72142025461908,-73.70213857145924,26.7,36,39.8,85.1,4,night,clear,1
33,DRIVER-42,2025-09-08 07:22:43.698800,2025-09-08 08:58:43.698800,40.53033950800406,-73.98848953415461,40.73149503030508,-73.79453878997846,47.2,96,66.5,69.5,4,afternoon,fog,1
34,DRIVER-6,2025-09-07 15:48:04.878743,2025-09-07 17:27:04.878743,40.56314702110192,-73.97033678579167,40.53237759516006,-74.17573637633707,59.3,99,47.1,54.0,1,afternoon,storm,0
35,DRIVER-10,2025-09-06 03:43:18.513966,2025-09-06 03:55:18.513966,40.89588940663523,-74.13464858887355,40.89406851665933,-73.92038483262962,81.8,12,66.3,50.5,4,evening,rain,1
36,DRIVER-42,2025-09-07 05:28:42.227200,2025-09-07 05:46:42.227200,40.52061062869912,-73.88288596754339,40.62601883098844,-74.09375550585835,83.7,18,24.4,70.9,3,afternoon,fog,0
37,DRIVER-45,2025-09-08 07:06:29.434621,2025-09-08 07:42:29.434621,40.6471386741034,-73.70806616365306,40.50959926018946,-73.84850803851734,66.3,36,29.2,55.8,2,morning,rain,0
38,DRIVER-38,2025-09-06 20:01:56.774982,2025-09-06 20:44:56.774982,40.52367929955331,-74.141479222815,40.86831124283248,-74.12816855655598,30.7,43,63.3,87.0,3,afternoon,fog,0
39,DRIVER-29,2025-09-12 04:41:19.877016,2025-09-12 04:51:19.877016,40.96881584317552,-73.76197209138552,40.67864928251311,-73.79099156087156,63.5,10,39.8,82.2,0,morning,storm,0
40,DRIVER-13,2025-09-10 03:16:02.631322,2025-09-10 04:08:02.631322,40.54870225502712,-74.14976259387386,40.50988038083177,-73.86362908729502,57.7,52,44.7,71.3,0,night,snow,0
